codigo,piezas_por_caja,usado_en_portal
OT-ACC005-10701,12,SI
OT-ACC005-10704,12,SI
OT-ACC005-10705,12,SI
OT-ACC005-10706,12,SI
OT-ACC005-10707,12,SI
OT-ACC005-10708,12,SI
OT-ACC005-10720,12,SI
OT-ACC005-10721,12,SI
OT-ACC005-10722,12,SI
OT-ACC005-10723,12,SI
OT-ACC005-10724,12,SI
OT-ACC005-10725,12,SI
OT-ACC005-10729,12,SI
OT-ACC005-10751,12,SI
OT-ACC005-10752,12,SI
OT-ACC005-10753,12,SI
OT-ACC005-10754,12,SI
OT-ACC005-10755,12,SI
OT-ACC005-10756,12,SI
OT-ACC005-10757,12,SI
OT-ACC005-10762,12,SI
OT-ACC005-10763,12,SI
OT-ACC005-10764,12,SI
OT-ACC005-10765,12,SI
OT-ACC005-10766,12,SI
OT-ACC005-10767,12,SI
OT-ACC005-10768,12,SI
OT-ACC005-10769,12,SI
OT-ACC005-10770,12,SI
OT-ACC005-10771,12,SI
OT-ACC005-10772,12,SI
OT-ACC005-10783,12,SI
OT-ACC005-10784,12,SI
OT-ACC005-10785,12,SI
OT-ACC005-10786,12,SI
OT-ACC005-10787,12,SI
OT-ACC005-10788,12,SI
OT-ACC005-10789,12,SI
OT-ACC005-10790,12,SI
OT-ACC005-10791,12,SI
OT-ACC005-10792,12,SI
OT-ACC005-10793,12,SI
OT-ACC005-10794,12,SI
OT-ACC005-10795,12,SI
OT-ACC005-10796,12,SI
OT-ACC005-10797,12,SI
OT-ACC005-10798,10,SI
OT-ACC005-10799,10,SI
OT-ACC005-10817,12,SI
OT-ACC005-10818,12,SI
OT-ACC005-10819,12,SI
OT-ACC005-10820,12,SI
OT-ACC005-10821,12,SI
OT-ACC005-10822,12,SI
OT-ACC005-10823,10,SI
OT-ACC005-10824,10,SI
OT-ACC005-10825,10,SI
OT-ACC005-10826,10,SI
OT-ACC005-10827,10,SI
OT-ACC005-10828,10,SI
OT-ACC005-10829,12,SI
OT-ACC005-10830,12,SI
OT-ACC005-10831,12,SI
OT-ACC005-10832,12,SI
OT-ACC005-10833,12,SI
OT-ACC005-10834,12,SI
OT-ACC005-10835,12,SI
OT-ACC005-10836,12,SI
OT-ACC005-10837,12,SI
OT-ACC005-10838,12,SI
OT-ACC005-10839,12,SI
OT-ACC005-10840,12,SI
OT-ACC005-10841,12,SI
OT-ACC005-10842,12,SI
OT-ACC005-10843,12,SI
OT-ACC005-10844,12,SI
OT-ACC005-10845,12,SI
OT-ACC005-10846,12,SI
OT-ACC005-10847,12,SI
OT-ACC005-10848,12,SI
OT-ACC005-10849,12,SI
OT-ACC005-10850,12,SI
OT-ACC005-10851,12,SI
OT-ACC005-10852,12,SI
OT-ACC005-10853,12,SI
OT-ACC005-10854,12,SI
OT-ACC005-10855,12,SI
OT-ACC005-10856,12,SI
OT-ACC005-10857,12,SI
OT-ACC005-10858,12,SI
OT-ACC005-10859,12,SI
OT-ACC005-10860,12,SI
OT-ACC005-10861,12,SI
OT-ACC005-10862,12,SI
OT-ACC005-10863,12,SI
OT-ACC005-10866,12,SI
OT-ACC005-10867,12,SI
OT-ACC005-10868,12,SI
OT-ACC005-10869,12,SI
OT-ACC005-10871,12,SI
OT-ACC005-10872,12,SI
OT-ACC005-10873,12,SI
OT-ACC005-10874,12,SI
OT-ACC005-10875,12,SI
OT-ACC005-10876,12,SI
OT-ACC005-10877,12,SI
OT-ACC005-10878,12,SI
OT-ACC005-10879,12,SI
OT-ACC005-10880,12,SI
OT-ACC005-10881,12,SI
OT-ACC005-10885,12,SI
OT-ACC005-10886,12,SI
OT-ACC005-10887,12,SI
OT-ACC005-10888,12,SI
OT-ACC005-10889,12,SI
OT-ACC005-11570,12,NO
OT-ACC049-10969,40,NO
OT-ACC049-10970,100,SI
OT-INS952-4424,1000,NO
OT-INS954-4423,1000,NO
OT-INS956-4428,1000,NO
OT-INS956-4429,1000,NO
OT-INS956-4430,1000,NO
OT-INS956-4434,1000,NO
